Signature,Block Time,Human Time,Action,From,To,Amount,Value,Decimals,Token Address, Multiplier
2Hz52vrCCX3wxEwCGU2jKcM5yPF8K2HjBqBURN5uzwPCoLqFBvb4NTprxRySGD4c8jmpyL7jhDRcQmcEk1pZFDB8,1757328110,2025-09-08T10:41:50.000Z,TRANSFER,Ff6UhgNNrFhbG652JjmLeTQZ3kMz7wkghZf249sVUWPK,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,50865993540,0.3321,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
5FnQStnrj61agQ4mL6Ntm7pZ7v4y4vHR7J8jNBtkdDpH1vm9TaRSPmhmGHpsz2s348fxhacToKuceLGe3QarVg8j,1757326800,2025-09-08T10:20:00.000Z,TRANSFER,BURNNeQ2zERsVhL6GgJR45CvGtwdxHeWBs4B5V4zRFgL,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,48336574917,0.3063,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
HKuU4j3JRhNE3Di5uoTHrFmvuV2Uc1QWzFXYmffkp2bPu1XN6H9WB1oEBY7ru6wCWiLmCH1hoiYmTaK93Dy7XZd,1757326242,2025-09-08T10:10:42.000Z,TRANSFER,AwEvd26Wh8F6YxhD1TUXGMgRtVkC4qKBUAAjLopSME6X,BURNNeQ2zERsVhL6GgJR45CvGtwdxHeWBs4B5V4zRFgL,31561683704,0.2,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
5yjBszaRvwNvJhzExTPaYki3YnKTYu2EbWoqE2HKB6e4fQJP7hH8uHC7JFtJZxXtKaeoRGLr3ZEqwUN21kpuQp31,1757290574,2025-09-08T00:16:14.000Z,TRANSFER,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,10817197694,0.06854,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
5yjBszaRvwNvJhzExTPaYki3YnKTYu2EbWoqE2HKB6e4fQJP7hH8uHC7JFtJZxXtKaeoRGLr3ZEqwUN21kpuQp31,1757290574,2025-09-08T00:16:14.000Z,TRANSFER,4NJM2dSE24xd4uf6P4XLoiQXCEQ7aNVjiRgxLvRZFGEz,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,10909932116,0.06913,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
5Q5LdTWarEL6KsazmpdzFLSvXYzfqTx5gcSyoFCPLHKjrL9ytAhTnZGF8Q8SQqjhXaB1vPuvYT7sx4En7YzLpyQ5,1757290533,2025-09-08T00:15:33.000Z,TRANSFER,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,46344110947,0.2906,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
5Q5LdTWarEL6KsazmpdzFLSvXYzfqTx5gcSyoFCPLHKjrL9ytAhTnZGF8Q8SQqjhXaB1vPuvYT7sx4En7YzLpyQ5,1757290533,2025-09-08T00:15:33.000Z,TRANSFER,4NJM2dSE24xd4uf6P4XLoiQXCEQ7aNVjiRgxLvRZFGEz,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,46741412957,0.293,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
3XLrFK7FGeGLtJJqmKSoB76hi1yc93XMzhwrwMBrGfzUS3nmcQ5f3yKJQTywpZyHykNnD2EjSvxAzd7fHBo3hGw9,1757254521,2025-09-07T14:15:21.000Z,TRANSFER,3qyzwq1hE3UFb77CiBRTWa6me1Yjydx6pNuEfb4DgihG,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,176194229007,1.1092,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
63NcJHyPopWCTAY4NynDty9Y7hWRgryhmEKJei4Nh75sXCSngpVNk6kkZ7RvRjsgfDkZy1N6HZnF25HwQiwR5Zbp,1757251274,2025-09-07T13:21:14.000Z,TRANSFER,9Z1vhUWgjEfnpcSTFv2ouRFNjmg6on36iLHikgDH4Jq9,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,48361881592,0.3033,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
35Q2LQkiQapKw723eaKDbfXXgUuxLTsq2JoWSYYUtSYTDW1bu3B3uA6VoBgezVnPMp2o9P7wkQwbjCPWrgrG3tjq,1757251258,2025-09-07T13:20:58.000Z,TRANSFER,5TRZYZXU8WnxG3R56Cz2j2DeE2CtWfzD2fYRvAUnSs8D,9Z1vhUWgjEfnpcSTFv2ouRFNjmg6on36iLHikgDH4Jq9,12686135875,0.07955,6,HLxdqSmiKamc4quBoMTxNVecTpJvzPRvrKg2HUJGEQcY,1.0
